
solarPanels,greenhouses,size,price,purpose
7,3,585,2050,farm
24,2,415,1990,power
12,4,395,2990,farm
20,1,520,1800,power
14,3.50,695,3200,general
24,5,1050,9950,general
20,1.50,585,1950,power
20,3,390,2990,power
5.75,1,300,1950,general
12,1,330,1990,power
6,1,345,800,general
12,6,820,5950,farm
10,2,290,1850,general
14,1.25,435,1500,power
10,1,150,500,power
12,1,355,1200,power
28,4.25,885,7950,power
7,1.75,255,1950,general
20,3.25,570,3950,general
5.50,4,625,3950,farm
28,5,1115,11950,general
14,2,630,2950,general
20,1,480,1950,power
20,3.50,675,3990,general
20,3,380,3200,power
4,2,480,1300,farm
14,1,450,1500,power
16,2,480,2950,power
16,6.50,795,6990,farm
28,5,705,8500,general
12,1,215,700,power
20,6.75,930,9050,farm
14,2,285,1400,general
7,1,260,1150,general
20,1,460,1600,power
7,4,500,2950,farm
14,6.50,555,4500,farm
12,5,580,3850,farm
20,7.25,780,8850,farm
14,2,380,1950,general
20,5,620,5950,general
16,3,620,3200,general
14,1,525,1950,power
20,4,500,3990,general
7,2,455,1200,general
10,3,390,1850,general
6,2,365,1800,general
28,5.50,725,7990,general
20,2,685,2900,power
7.50,2.50,315,1950,general
7,2,445,1700,general
10,4,590,2850,farm
20,3,620,3600,power
16,5,485,3950,farm
7,4,385,1900,farm
20,1,620,2400,power
24,2.25,380,2500,power
5,5,505,2100,farm
14,1.25,495,1950,power
24,4,645,5990,general
5,4,255,1950,farm
20,1,225,700,power
4,1.50,275,990,general
12,2.50,545,1990,general
5.50,1.50,410,950,general
4.25,1,290,1950,general
12,3.50,400,2450,farm
6,3.50,590,2500,farm
20,2.50,335,1950,power
14,3,595,2800,general
8,4.50,390,2950,farm
20,4,640,4990,general
12,2,605,2100,general
14,4.75,795,3950,farm
5,4.25,620,2950,farm
16,2.50,375,1950,general
6,1,345,990,general
10,1,365,1050,power
24,4,900,6500,general
20,7,1115,11950,farm
16,2,485,2500,power
4,4.50,600,1800,farm
20,2,460,2950,power
24,2,475,3300,power
4,5,450,2950,farm
14,1.50,305,1950,power
28,4,790,7500,power
20,1,395,1990,power
14,1,220,1950,power
28,5,750,7700,general
28,3.50,980,6600,power
6,1.50,395,1200,general
6,4,680,2900,farm
20,1.50,595,2500,power
14,2,225,1990,general
6.50,3,555,1990,farm
7,3,280,1150,farm
14,1,540,1600,power
10,2,530,1950,general
10,4,605,3250,farm
20,2,705,3500,power
16,4,680,5500,general
12,6,525,4950,farm
24,2,710,3450,power
16,1,525,1950,power
6.50,3,355,1350,farm
10,5,535,2800,farm
14,1,315,1950,power
28,4,900,6990,power
24,2.25,545,3100,power
20,1,550,1950,power
12,1,510,1250,power
14,4,405,2990,farm
4,1,215,750,general
14,4,415,3200,farm
28,4.50,725,6850,power
6.50,1,425,1050,general
20,4.50,530,4200,general
14,2.50,645,3200,general
28,2,690,3350,power
20,2,630,3100,power
20,3,780,4990,power
4.50,1,460,990,general
20,3,670,3950,power
24,2,715,3990,power
20,1,495,2500,power
20,2,510,2400,power
10,4,540,2990,farm
36,6.50,1160,17900,general
14,1.50,380,1990,power
24,4,875,6700,general
7,3,440,1990,farm
10,3,615,2700,general
20,5,805,7500,general
7,2.25,515,2400,general
16,4.25,480,3500,general
28,3,605,4900,power
20,1,370,1400,power
8,6.75,825,4200,farm
10,5,450,2990,farm
14,4.50,450,2950,farm
20,1,290,1500,power
24,2.50,640,3950,power
20,4.50,895,5900,general
10,4.50,495,2500,farm
14,3,570,3700,general
10,2.25,440,2050,general
28,3.75,845,6950,power
16,1,665,2050,power
16,1.25,600,2500,power
16,2.50,440,1990,general
10,1,285,950,power
16,4,530,3950,general
12,6,490,4500,farm
